No,Sheet,VN Word,VN Example,JP Word,JP Example,EN Word,EN Example,Tag
1,Daily Phrases,Toilet ở đâu,Toilet ở đâu?,トイレはどこですか,トイレはどこですか。,Where is the bathroom?,Where is the bathroom?,Survival
2,Daily Phrases,Cái này bao nhiêu,Cái này bao nhiêu tiền?,これはいくらですか,これはいくらですか。,How much is this?,How much is this?,Survival
3,Daily Phrases,Tôi không hiểu,Tôi không hiểu.,<ruby>分<rt>わ</rt></ruby>かりません,<ruby>分<rt>わ</rt></ruby>かりません。,I don't understand,I don't understand.,Survival
4,Daily Phrases,Nói chậm hơn,Xin nói chậm hơn.,もっとゆっくり<ruby>話<rt>はな</rt></ruby>して,もっとゆっくり<ruby>話<rt>はな</rt></ruby>してください。,Please speak slowly,Please speak more slowly.,Survival
5,Daily Phrases,Tôi không nói được tiếng Việt,Tôi không nói được tiếng Việt.,ベトナム<ruby>語<rt>ご</rt></ruby>は<ruby>話<rt>はな</rt></ruby>せません,ベトナム<ruby>語<rt>ご</rt></ruby>は<ruby>話<rt>はな</rt></ruby>せません。,I don't speak Vietnamese,I can't speak Vietnamese.,Survival
6,Daily Phrases,Xin giúp tôi,Xin giúp tôi!,<ruby>助<rt>たす</rt></ruby>けてください,<ruby>助<rt>たす</rt></ruby>けてください！,Please help me,Please help me!,Survival
7,Daily Phrases,Tôi bị lạc,Tôi bị lạc đường.,<ruby>道<rt>みち</rt></ruby>に<ruby>迷<rt>まよ</rt></ruby>いました,<ruby>道<rt>みち</rt></ruby>に<ruby>迷<rt>まよ</rt></ruby>いました。,I'm lost,I'm lost.,Survival
8,Daily Phrases,Gọi cảnh sát,Gọi cảnh sát giúp tôi!,<ruby>警察<rt>けいさつ</rt></ruby>を<ruby>呼<rt>よ</rt></ruby>んで,<ruby>警察<rt>けいさつ</rt></ruby>を<ruby>呼<rt>よ</rt></ruby>んでください！,Call the police,Call the police!,Survival
9,Daily Phrases,Tôi cần bác sĩ,Tôi cần gặp bác sĩ.,<ruby>医者<rt>いしゃ</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>です,<ruby>医者<rt>いしゃ</rt></ruby>が<ruby>必要<rt>ひつよう</rt></ruby>です。,I need a doctor,I need a doctor.,Survival
10,Daily Phrases,Bệnh viện gần nhất,Bệnh viện gần nhất ở đâu?,<ruby>一番<rt>いちばん</rt></ruby><ruby>近<rt>ちか</rt></ruby>い<ruby>病院<rt>びょういん</rt></ruby>は,<ruby>一番<rt>いちばん</rt></ruby><ruby>近<rt>ちか</rt></ruby>い<ruby>病院<rt>びょういん</rt></ruby>はどこですか。,Nearest hospital?,Where's the nearest hospital?,Survival
