No,Sheet,VN Word,VN(A),VN(B),JP Word,JP(A),JP(B),EN Word,EN(A),EN(B),Tag
1,Core Basic,Xin chào,Xin chào anh!,"Xin chào, rất vui được gặp anh.",こんにちは,こんにちは！,こんにちは、お<ruby>会<rt>あ</rt></ruby>いできて<ruby>嬉<rt>うれ</rt></ruby>しいです。,Hello,Hello!,"Hello, nice to meet you.",Greeting
2,Core Basic,Cảm ơn,Cảm ơn anh rất nhiều.,Không có gì đâu.,ありがとう,<ruby>本当<rt>ほんとう</rt></ruby>にありがとうございます。,どういたしまして。,Thank you,Thank you so much.,You're welcome.,Greeting
3,Core Basic,Xin lỗi,"Xin lỗi, tôi đến muộn.","Không sao, vào đi.",すみません,すみません、<ruby>遅<rt>おく</rt></ruby>れました。,<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>ですよ、どうぞ。,Sorry,"Sorry, I'm late.","No worries, come in.",Greeting
4,Core Basic,Tạm biệt,Tạm biệt anh!,"Tạm biệt, hẹn gặp lại.",さようなら,さようなら！,さようなら、また<ruby>会<rt>あ</rt></ruby>いましょう。,Goodbye,Goodbye!,"Goodbye, see you again.",Greeting
5,Core Basic,Vâng,Anh hiểu không?,"Vâng, tôi hiểu rồi.",はい,<ruby>分<rt>わ</rt></ruby>かりましたか。,はい、<ruby>分<rt>わ</rt></ruby>かりました。,Yes,Do you understand?,"Yes, I understand.",Response
6,Core Basic,Không,Anh muốn uống bia không?,"Không, cảm ơn.",いいえ,ビール<ruby>飲<rt>の</rt></ruby>みますか。,いいえ、<ruby>結構<rt>けっこう</rt></ruby>です。,No,Want some beer?,"No, thank you.",Response
7,Core Basic,Có,Anh có thời gian không?,"Có, tôi rảnh.",ある / はい,お<ruby>時間<rt>じかん</rt></ruby>ありますか。,はい、<ruby>暇<rt>ひま</rt></ruby>です。,Yes / Have,Do you have time?,"Yes, I'm free.",Response
8,Core Basic,Được,Ngày mai được không?,"Được, không vấn đề gì.",いい / できる,<ruby>明日<rt>あした</rt></ruby>でいいですか。,いいですよ、<ruby>問題<rt>もんだい</rt></ruby>ありません。,OK / Can,Is tomorrow OK?,"Sure, no problem.",Response
9,Core Basic,Dạ,Anh nghe rõ không?,"Dạ, tôi nghe rõ.",はい,<ruby>聞<rt>き</rt></ruby>こえますか。,はい、よく<ruby>聞<rt>き</rt></ruby>こえます。,Yes (polite),Can you hear me?,"Yes, I can hear you.",Response
10,Core Basic,Không sao,Xin lỗi anh.,"Không sao, đừng lo.",<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>,ごめんなさい。,<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>、<ruby>心配<rt>しんぱい</rt></ruby>しないで。,No problem,I'm sorry.,"It's OK, don't worry.",Response
11,Core Basic,Xin,Xin cho tôi thêm nước.,"Dạ, đợi chút nhé.",お<ruby>願<rt>ねが</rt></ruby>いします,お<ruby>水<rt>みず</rt></ruby>をもう<ruby>一杯<rt>いっぱい</rt></ruby>。,はい、<ruby>少々<rt>しょうしょう</rt></ruby>お<ruby>待<rt>ま</rt></ruby>ちください。,Please,More water please.,"Sure, one moment.",Request
12,Core Basic,Chào buổi sáng,Chào buổi sáng!,"Chào buổi sáng, hôm nay đẹp trời nhỉ!",おはようございます,おはようございます！,おはよう、<ruby>今日<rt>きょう</rt></ruby>はいい<ruby>天気<rt>てんき</rt></ruby>ですね！,Good morning,Good morning!,"Good morning, nice weather!",Greeting
13,Core Basic,Chào buổi tối,Chào buổi tối anh.,"Chào, anh ăn gì chưa?",こんばんは,こんばんは。,こんばんは、もう<ruby>食<rt>た</rt></ruby>べましたか。,Good evening,Good evening.,"Hi, have you eaten yet?",Greeting
14,Core Basic,Chúc ngủ ngon,"Tối rồi, tôi về nhé.","Chúc ngủ ngon, ngày mai gặp.",おやすみなさい,もう<ruby>遅<rt>おそ</rt></ruby>いので<ruby>帰<rt>かえ</rt></ruby>ります。,おやすみなさい、<ruby>明日<rt>あした</rt></ruby>。,Good night,"It's late, I'll head back.","Good night, see you tomorrow.",Greeting
15,Core Basic,Hẹn gặp lại,Hôm nay vui quá.,Hẹn gặp lại lần sau!,また<ruby>会<rt>あ</rt></ruby>いましょう,<ruby>今日<rt>きょう</rt></ruby>は<ruby>楽<rt>たの</rt></ruby>しかった。,また<ruby>次回<rt>じかい</rt></ruby>！,See you again,Had a great time today.,See you next time!,Greeting
16,Core Basic,Rất vui được gặp,Anh là đối tác mới phải không?,"Vâng, rất vui được gặp anh.",お<ruby>会<rt>あ</rt></ruby>いできて<ruby>嬉<rt>うれ</rt></ruby>しい,<ruby>新<rt>あたら</rt></ruby>しいパートナーですか。,はい、お<ruby>会<rt>あ</rt></ruby>いできて<ruby>嬉<rt>うれ</rt></ruby>しいです。,Nice to meet you,Are you the new partner?,"Yes, nice to meet you.",Greeting
17,Core Basic,Khỏe,Anh có khỏe không?,"Khỏe, cảm ơn. Còn anh?",<ruby>元気<rt>げんき</rt></ruby>,お<ruby>元気<rt>げんき</rt></ruby>ですか。,<ruby>元気<rt>げんき</rt></ruby>です、あなたは？,Well / Healthy,How are you?,"Good, thanks. And you?",Greeting
